"","X1264","X603","X671","X375","X1753","X647","X761","X1192","X637","X1205","X402","X356","X623","X420","X700","X1133","X1275","X1204","X808","X841","X1371","X1229","X1859","X335","X1055","X1234","X446","X1079","X803","X313","X351","X592","X809","X507","X1939","X797","X123","X253","X1170","X1527","X494","X655","X598","X972","X631","X308","X951","X714","X728","X582","X1422","X722","X452","X969","X1162","X861","X195","X729","X632","X219","X169","status"
"1",82.22,178.13,220.16,233.77,94.76,281.12,166.59,199.28,273.17,107.83,449.43,401.66,251.2,150.98,300.12,264.8,117.39,91.02,339.85,164.58,69.78,57.56,76.6,186.71,144.16,133.4,250.3,122.75,135.91,243.16,238.21,173.14,169.61,235.23,73.13,301.46,738.26,765.67,90.23,88.95,494.07,130.27,354.24,157.49,230.19,203.26,214.21,222.23,200.45,354.54,148.48,254.05,455.95,144.57,202.94,109.12,299.52,149.42,227.61,680.43,699.93,"t"
"2",188.78,281.7,198.7,297.47,87.22,307.45,174.68,303.28,273.72,157.91,433.04,451.07,234.27,331.54,332.61,310.39,144.25,116.66,413.96,196.94,109.06,77.82,104.66,239.67,175.63,204.9,383.56,183.76,194.76,362.42,279.84,258.01,244.57,335.13,111.18,311.55,737.87,669.98,130.3,82.22,469.86,191.08,269.51,199.71,226.73,445.97,225.63,207.08,226.04,369.63,118.71,315.44,489.48,215.86,282.4,166.25,620.04,239.06,272.96,767.6,1146.54,"n"
"3",46.75,105.04,172.57,228.07,71.26,198.81,77.28,34.29,188.07,69.64,281.68,282.89,200.61,97.98,203.94,142.06,61.61,90.32,53.58,82.21,67,55.27,64.05,151.82,109.31,110.89,215.74,44.62,129.2,123.48,241.24,170.3,80.68,132.73,26.25,73.99,275.91,432.5,22.87,112.22,176.26,143.82,253.81,112.47,70.84,88.63,80.78,54.4,176.47,222.52,87.47,193.25,223.4,115.63,92.37,48.12,167.97,108.77,132.05,209.04,685.83,"t"
"4",73.74,129.6,135.03,231.61,51.72,214.72,121.96,86.74,210.26,70.07,339.27,262.07,223.67,102.2,172.44,125.23,65.18,86.15,141.35,74.21,74.65,62.6,54.46,163.68,87.5,147.35,319.32,91.17,107.14,133.89,237.37,133.81,124.45,148.33,52.86,143.07,409.97,405.68,48.15,86.75,304.08,161.65,209.33,133.49,120.27,129.79,139.65,117.92,183.19,242.31,129.4,230.35,236.25,70.44,128.29,56.85,253.56,105.88,179.25,438.56,659.77,"n"
"5",95.8,209.46,124.62,259.93,38.11,212.54,138.37,88.04,112,70.03,160.02,158.04,102.83,188.91,136.87,96.27,126.12,74.32,117.56,133.78,52.95,64.89,76.44,205.36,120.78,129.8,149.03,77.03,106.69,248.34,236.28,241.31,172.72,242.08,80.6,121.19,542.78,209.27,106.34,91.59,197.91,164.82,132.23,83.71,101.14,286.87,63.16,84.65,174.41,181.47,103.46,145.75,186.5,73.17,38.94,104.66,693.22,209.92,89.52,304.84,603.89,"t"
"6",61.6,132.74,104.06,245.57,28.62,122.09,138.41,62.62,98.55,46.03,162.79,157.78,83.16,145.61,142.99,102.34,69.04,66.11,95.68,76.93,31.45,49.92,30.26,172.72,92.94,117.9,144.96,74.71,98.16,148.11,197.19,142.46,97.15,103.73,56.56,76.42,371.88,182.48,48.15,63.74,60.42,109.19,109.37,67.14,76.1,149.71,80.14,62.2,149.51,163.9,74.13,89.05,158.99,71.65,35.36,56.66,303.79,103.56,119.18,203.99,649.69,"n"
"7",67.91,171.04,197.47,268.86,86.41,237.81,101.48,187.95,203.5,85.51,464.88,430.05,222.09,137.14,297.6,224.78,89.31,79.03,219.06,112.08,83.49,58.9,106.53,185.17,131.57,151.16,238.14,125.39,122.48,292.6,264.6,216.31,114.02,193.56,70.62,231.79,511.32,443.18,59.49,69.16,262.03,162.53,315.67,135.63,144.19,285.86,205.91,204.04,207.66,190.61,110.26,259.54,350.34,142.32,168.03,91.74,419.2,251.94,250.72,483.51,588.31,"t"
"8",44.85,141.32,189.73,338.25,70.53,210.59,129.77,148.75,228.31,85.88,334.95,333.83,168.48,95.81,260.11,147.14,83.12,88.3,220.91,65.44,60.52,83.38,60.82,282.33,132.62,199.61,250.63,126.01,166.46,213.53,381.47,212.32,136.6,141.45,112.48,203.6,593.16,371.77,44.9,80.43,435.15,199.33,232.92,174.43,170.71,180.8,188.02,219.29,291.4,222.28,115.28,196.97,368.26,95.36,151.84,37.5,305.82,240.98,242.96,760.85,958.98,"n"
"9",46.29,135.37,202.9,188.66,107.76,166.01,116.12,193.76,329.63,111.12,356.73,433.86,209.75,116.43,307.29,217.03,19.6,105.45,249.95,68.02,37.41,38.45,82.78,185.63,93.02,59.36,310.65,117.7,78.97,280.57,227.92,100.96,70.11,83.35,31.77,262.73,335.73,407.45,59.47,59.16,263.03,139.37,330.89,122.88,147.98,352.61,237.59,180.71,151.39,281.91,124.64,287.31,350.55,158.84,209.1,36.65,370.12,82.36,176.93,671.12,367.45,"t"
"10",231.02,379.24,179.67,532.94,89.14,292.74,279.47,151.44,235.57,78.08,329.01,407.89,155.8,333.57,254.59,204.62,176.74,180.28,240.28,299.05,117.19,168.71,59.96,454.67,269.83,316.25,282.84,105.4,298.03,535.56,475.09,466.49,316.22,449.59,215.03,176.61,1006.66,426.05,185.99,184.76,425.16,355.4,234.79,120.52,185.69,564.64,195.42,197.05,403.18,285.97,146.99,196.19,322.83,161.22,186.15,175.69,1044.09,301.72,229.22,465.1,1465.27,"n"
