"","x"
"1","X1264"
"2","X603"
"3","X671"
"4","X375"
"5","X1753"
"6","X647"
"7","X761"
"8","X1192"
"9","X637"
"10","X1205"
"11","X402"
"12","X356"
"13","X623"
"14","X420"
"15","X700"
"16","X1133"
"17","X1275"
"18","X1204"
"19","X808"
"20","X841"
"21","X1371"
"22","X1229"
"23","X1859"
"24","X335"
"25","X1055"
"26","X1234"
"27","X446"
"28","X1079"
"29","X803"
"30","X313"
"31","X351"
"32","X592"
"33","X809"
"34","X507"
"35","X1939"
"36","X797"
"37","X123"
"38","X253"
"39","X1170"
"40","X1527"
"41","X494"
"42","X655"
"43","X598"
"44","X972"
"45","X631"
"46","X308"
"47","X951"
"48","X714"
"49","X728"
"50","X582"
"51","X1422"
"52","X722"
"53","X452"
"54","X969"
"55","X1162"
"56","X861"
"57","X195"
"58","X729"
"59","X632"
"60","X219"
"61","X169"
"62","X956"
"63","X1555"
"64","X607"
"65","X1233"
"66","X1405"
"67","X1689"
"68","X1148"
"69","X1821"
"70","X1222"
"71","X593"
"72","X772"
"73","X1415"
"74","X1003"
"75","X1438"
"76","X890"
"77","X387"
"78","X1619"
"79","X98"
"80","X193"
"81","X1428"
"82","X1656"
"83","X1720"
"84","X172"
"85","X777"
"86","X1444"
"87","X706"
"88","X1174"
"89","X833"
"90","X888"
"91","X1700"
"92","X393"
"93","X1476"
"94","X1356"
"95","X576"
"96","X409"
"97","X270"
"98","X730"
"99","X762"
"100","X1410"
